"","GloboLakes_ID","LakeName","Latitude","Longitude","Country","Type","Elevation","LakeSize","Group","OverallAvg","OverallMeanAmp"
"705",3150,"ZZZZ",-53.96,-69.39,"Chile","Lake",179,6,7,4.82420997330005,11.3871007911912
"706",3171,"MARRYAT Inlet",68.39,-166.48,"United States","Lagoon",1,14,4,1.70118035573846,11.3780820849921
"707",3188,"STE. ANNE",53.7,-114.4,"Canada","Lake",723,4,5,6.02231545194725,21.0854697219895
"708",3191,"TOWADA",40.46,140.89,"Japan","Lake",479,2,9,10.7745109366413,22.7013581494572
"709",3196,"ÉTANG DE CAZAUX ET DE SANGUINET",44.48,-1.14,"France","Lagoon",24,5,1,15.7362066220998,17.0409821651464
"710",3203,"TALAHONG, DELONG, YANGCAOHAO Lakes",46.79,124.09,"China","Lake",135,11,5,7.89790564856677,27.4473949922388
"711",3208,"ZZZZ",38.93,48.87,"Azerbaijan","Lake",-22,5,1,17.7691736575947,23.3809641131324
"712",3218,"MELINCUÉ Lake",-33.71,-61.48,"Argentina","Lake",91,9,8,17.7575312782173,14.925838204465
"713",3231,"FROG Lake",53.91,-110.34,"Canada","Lake",579,6,5,4.9525335043938,17.9211816262844
"714",3238,"VERRET",29.89,-91.14,"United States","Lake",0,5,2,23.301473523624,18.5636615522124
"715",3243,"KINGSMERE Lake",54.08,-106.46,"Canada","Lake",541,8,5,5.68361348114252,18.9410689647298
"716",3276,"MALOYE EROVNOYE",52.66,111.64,"Russia","Lake",954,6,5,4.27150965301405,21.3718692259384
"717",3281,"ORSASJÖN/ORSA Lake",61.08,14.56,"Sweden","Lake",185,8,5,6.10557199941164,20.601619492835
"718",3307,"BRACCIANO",42.12,12.23,"Italy","Lake",191,4,1,17.4400366701673,17.0597408235429
"719",3312,"KUBUY",71.04,137.76,"Russia","Lake",17,18,4,1.63738873264772,18.2146954331523
"720",3365,"ARAKHLEY",52.21,112.87,"Russia","Lake",977,5,4,4.50200225058358,19.4276592468638
"721",3379,"RAZNAS",56.33,27.43,"Latvia","Lake",166,4,5,7.37655683958477,22.522477013336
"722",3392,"MAGISS Lake",52.95,-91.69,"Canada","Lake",291,4,5,5.56321602471591,21.3446786314878
"723",3397,"MONTIGNY, Lac de",48.13,-77.9,"Canada","Lake",304,6,5,6.22835168567825,20.8815310509242
"724",3398,"DYRYN-EBE",67.71,154.54,"Russia","Lake",13,9,4,2.79334894116089,18.5653893457365
"725",3421,"ZZZZ",52.6,65.59,"Kazakhstan","Lake",200,6,5,6.97425525411617,24.4271992013938
"726",3446,"RUFUS Lake",69.58,-129.98,"Canada","Lake",16,10,4,2.00026292285242,13.642469415007
"727",3471,"ZZZZ",-29.63,-60.73,"Argentina","Lake",43,6,6,21.0754672409902,15.0454621290677
"728",3493,"CRATER Lake",42.94,-122.11,"United States","Lake",1959,4,5,7.53458741154507,15.8446008727084
"729",3523,"WABIMEIG Lake",51.47,-85.6,"Canada","Lake",155,4,5,5.05344388436281,19.3636577676895
"730",3529,"ZZZZ",65.22,-125.36,"Canada","Lake",83,7,4,4.11048155872513,20.71956240699
"731",3570,"COLEN Lakes",54.56,-95.39,"Canada","Lake",187,8,5,5.13861872310556,20.1150184720727
"732",3587,"CARDINAL Lake",56.24,-117.72,"Canada","Lake",652,4,5,5.90660649223233,22.21717826456
